Year,Month,Week,Long_Signals,Short_Signals,Long_Bonus,Short_Bonus,Step_Min,Step_Max
2018,12,49,443,1152,703.0,1827.0,57411,58082
2018,12,50,436,846,700.5,1270.5,58083,58754
2018,12,51,1511,325,2086.0,449.0,58755,59426
2018,12,52,714,737,1005.5,1008.0,59427,60098
2019,1,1,785,1289,1153.5,1777.0,60195,60770
2019,1,2,1169,983,1706.0,1525.0,60771,61442
2019,1,3,669,1567,1013.0,2267.5,61443,62114
2019,1,4,397,1460,706.0,2069.5,62115,62786
2019,1,5,307,599,560.5,941.0,62787,63170
2019,2,5,446,348,636.0,554.0,63171,63458
2019,2,6,1098,949,1530.5,1496.0,63459,64130
2019,2,7,1107,596,1450.0,794.5,64131,64802
2019,2,8,1915,220,2320.5,309.5,64803,65474
2019,2,9,366,421,516.0,682.0,65475,65858
2019,3,9,467,440,683.5,723.0,65859,66146
2019,3,10,1586,607,2265.0,926.0,66147,66818
2019,3,11,1621,636,2034.5,832.0,66819,67490
2019,3,12,933,1082,1236.0,1324.5,67491,68162
2019,3,13,1464,520,1933.5,671.0,68163,68834
2019,4,14,1519,187,1941.0,250.0,68835,69411
2019,4,15,813,571,1077.0,789.0,69412,70083
2019,4,16,1298,370,1741.5,514.0,70084,70755
2019,4,17,1186,614,1528.0,966.0,70756,71427
2019,4,18,480,224,727.5,359.0,71428,71619
2019,5,18,1620,161,2299.5,260.5,71620,72099
2019,5,19,2000,261,2503.5,373.0,72100,72771
2019,5,20,1421,406,1955.5,552.5,72772,73443
2019,5,21,551,448,816.5,567.0,73444,74115
2019,5,22,1224,383,1638.0,545.0,74116,74595
2019,6,22,171,28,241.0,26.5,74596,74787
2019,6,23,850,885,1189.5,1225.5,74788,75459
2019,6,24,1627,360,2126.5,499.5,75460,76131
2019,6,25,1807,211,2426.5,306.5,76132,76803
2019,6,26,1528,387,1944.0,479.0,76804,77475
2019,7,27,688,589,1016.5,822.5,77476,78147
2019,7,28,1086,720,1324.0,912.5,78148,78819
2019,7,29,616,1250,912.5,1650.0,78820,79491
2019,7,30,458,1528,744.5,2175.0,79492,80163
2019,7,31,476,299,774.0,471.0,80164,80451
2019,8,31,877,168,1241.5,237.0,80452,80835
2019,8,32,1251,528,1534.5,754.5,80836,81507
2019,8,33,575,849,944.0,1188.5,81508,82179
2019,8,34,720,906,1194.0,1353.0,82180,82851
2019,8,35,237,1232,394.0,1645.0,82852,83427
2019,9,35,67,95,108.0,155.0,83428,83523
2019,9,36,1669,435,2290.0,550.5,83524,84195
2019,9,37,517,1600,737.5,2071.5,84196,84867
2019,9,38,499,1753,820.5,2438.5,84868,85539
2019,9,39,220,1162,264.5,1862.5,85540,86211
2019,9,40,181,121,275.5,190.5,86212,86307
2019,10,40,392,990,587.5,1556.5,86308,86788
2019,10,41,760,846,1140.0,1312.5,86789,87460
